epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8777,1.2459,4.34385,1.28396,0.00018,0.01852,0.00182,0.00018,1.26464,4.15523,1.21528,3e-05,3e-05,3e-05
2,31.557,1.23316,4.05899,1.19717,0.00015,0.01852,0.00031,6e-05,1.18572,4.08145,1.18915,6.9538e-05,6.9538e-05,6.9538e-05
3,46.812,1.22715,3.63738,1.16102,0.00125,0.0812,0.03749,0.01859,1.18157,4.04738,1.202,0.000108548,0.000108548,0.000108548
4,62.084,1.13491,3.06407,1.15366,0.01258,0.66296,0.21134,0.13192,1.13939,3.8152,1.08228,0.00014703,0.00014703,0.00014703
5,77.3138,1.23862,2.56578,1.16571,0.01491,0.85556,0.27758,0.18008,1.10514,3.6725,1.03094,0.000184984,0.000184984,0.000184984
6,92.6684,1.21984,2.39481,1.14567,0.01613,0.96296,0.28916,0.1952,1.117,3.53085,0.99014,0.00022241,0.00022241,0.00022241
7,107.922,1.19674,2.20003,1.13565,0.01699,0.96296,0.32516,0.21692,1.11269,3.45503,0.9713,0.000259308,0.000259308,0.000259308
8,123.132,1.19343,2.02329,1.14404,0.01567,0.78519,0.31872,0.21261,1.12564,3.43071,0.98496,0.000295678,0.000295678,0.000295678
9,138.408,1.20438,1.91462,1.11603,0.01637,0.78704,0.33083,0.2166,1.12037,3.39921,0.99333,0.00033152,0.00033152,0.00033152
10,153.57,1.17911,1.85424,1.12724,0.01687,0.76852,0.33412,0.2222,1.15555,3.41597,1.00418,0.000366834,0.000366834,0.000366834
11,168.685,1.20895,1.73365,1.14777,0.0173,0.71852,0.33317,0.20544,1.16722,3.46372,1.01968,0.00040162,0.00040162,0.00040162
12,183.827,1.20767,1.62928,1.141,0.01673,0.62963,0.28786,0.18449,1.1078,3.53832,1.03236,0.000435878,0.000435878,0.000435878
13,198.967,1.18701,1.54797,1.16189,0.01432,0.71667,0.37108,0.23701,1.13687,3.42707,1.07511,0.000469608,0.000469608,0.000469608
14,214.227,1.18754,1.51125,1.14782,0.01325,0.77222,0.42969,0.29901,1.15111,3.30426,1.06241,0.00050281,0.00050281,0.00050281
15,229.414,1.19568,1.54153,1.12932,1,0.11685,0.51483,0.35357,1.18977,3.26936,1.05935,0.000535484,0.000535484,0.000535484
16,244.448,1.2825,1.47305,1.15643,1,0.13549,0.64328,0.42075,1.22924,3.22181,1.06019,0.00056763,0.00056763,0.00056763
17,259.643,1.1396,1.3329,1.0914,1,0.26454,0.88012,0.53497,1.29665,3.02765,1.08438,0.000599248,0.000599248,0.000599248
